temperature[K] apl[nm^2] stderr(apl) lipidname
-------------------------------------  
277 1.073534e+00 5.359652e-02 MPPM
277 1.122814e+00 2.392722e-02 MPPV
277 1.092614e+00 3.540099e-02 YPMN
277 1.132383e+00 3.572104e-02 YPMV
277 5.727227e-01 1.179340e-02 MVPE
277 5.713215e-01 8.544183e-03 PMPE
277 5.689471e-01 8.462163e-03 PNPE
277 5.662863e-01 8.051819e-03 YVPE
277 5.723374e-01 4.081127e-03 PVPE
277 6.259049e-01 2.215309e-02 PVPG
277 6.236971e-01 9.166544e-03 PMPG
277 6.124418e-01 1.344338e-02 PNPG
277 6.216460e-01 2.250179e-02 PYPG
277 6.373128e-01 2.686537e-02 YVPG
285 1.128812e+00 5.783813e-02 MPPM
285 1.161175e+00 2.633082e-02 MPPV
285 1.121166e+00 4.469486e-02 YPMN
285 1.142368e+00 5.027257e-02 YPMV
285 5.820057e-01 1.168877e-02 MVPE
285 5.802650e-01 1.000869e-02 PMPE
285 5.812345e-01 1.113259e-02 PNPE
285 5.734818e-01 9.069316e-03 YVPE
285 5.821867e-01 5.170763e-03 PVPE
285 6.412024e-01 1.703252e-02 PVPG
285 6.370469e-01 1.136611e-02 PMPG
285 6.289198e-01 1.856977e-02 PNPG
285 6.383623e-01 2.704080e-02 PYPG
285 6.606844e-01 3.292952e-02 YVPG
296 1.136252e+00 5.710395e-02 MPPM
296 1.183174e+00 2.381484e-02 MPPV
296 1.137079e+00 2.356410e-02 YPMN
296 1.192939e+00 4.839458e-02 YPMV
296 5.950435e-01 7.323311e-03 MVPE
296 5.946643e-01 6.785186e-03 PMPE
296 5.926595e-01 8.992964e-03 PNPE
296 5.908859e-01 1.004451e-02 YVPE
296 5.931307e-01 3.743689e-03 PVPE
296 6.655583e-01 1.041436e-02 PVPG
296 6.515033e-01 7.103329e-03 PMPG
296 6.447565e-01 1.435506e-02 PNPG
296 6.506167e-01 1.692046e-02 PYPG
296 6.616218e-01 3.132189e-02 YVPG
310 1.189482e+00 5.903489e-02 MPPM
310 1.191311e+00 2.448040e-02 MPPV
310 1.211818e+00 2.355203e-02 YPMN
310 1.164697e+00 2.803184e-02 YPMV
310 6.132137e-01 1.876414e-03 MVPE
310 6.117592e-01 3.757494e-03 PMPE
310 6.115659e-01 1.229726e-02 PNPE
310 6.110320e-01 4.212605e-03 YVPE
310 6.140326e-01 5.639940e-03 PVPE
310 6.734435e-01 7.237216e-03 PVPG
310 6.751002e-01 5.055034e-03 PMPG
310 6.748423e-01 1.150854e-02 PNPG
310 6.770016e-01 7.880696e-03 PYPG
310 6.951925e-01 2.550212e-02 YVPG
320 1.177953e+00 2.328681e-02 MPPM
320 1.205264e+00 1.384477e-02 MPPV
320 1.223051e+00 3.144507e-02 YPMN
320 1.218009e+00 2.906024e-02 YPMV
320 6.196568e-01 9.087331e-03 MVPE
320 6.250954e-01 6.005468e-03 PMPE
320 6.176472e-01 4.977745e-03 PNPE
320 6.269158e-01 3.584599e-03 YVPE
320 6.252031e-01 2.590929e-03 PVPE
320 6.984812e-01 1.519848e-02 PVPG
320 6.915191e-01 5.049961e-03 PMPG
320 6.882092e-01 9.409397e-03 PNPG
320 6.924104e-01 1.613956e-02 PYPG
320 6.998263e-01 1.534204e-02 YVPG
