temperature[K] apl[nm^2] stderr(apl) lipidname
-------------------------------------
277 1.048687e+00 8.809109e-03 MPPM
277 1.055927e+00 4.345735e-03 MPPV
277 1.043404e+00 6.447388e-03 YPMN
277 1.047886e+00 7.905525e-03 YPMV
277 5.744753e-01 9.978539e-04 MVPE
277 5.845118e-01 7.424033e-04 PMPE
277 5.790781e-01 2.402986e-03 PNPE
277 5.797967e-01 1.806615e-03 YVPE
277 5.715574e-01 1.017080e-03 PVPE
277 6.097123e-01 2.765372e-03 PVPG
277 6.130474e-01 1.386804e-03 PMPG
277 6.078129e-01 1.756239e-03 PNPG
277 6.195889e-01 2.829863e-03 PYPG
277 6.174447e-01 6.641512e-03 YVPG
285 1.060572e+00 8.667118e-03 MPPM
285 1.066560e+00 2.931167e-03 MPPV
285 1.060569e+00 5.339104e-03 YPMN
285 1.059294e+00 4.793540e-03 YPMV
285 5.850513e-01 1.495133e-03 MVPE
285 5.934194e-01 7.575336e-04 PMPE
285 5.897120e-01 1.345464e-03 PNPE
285 5.895844e-01 1.409169e-03 YVPE
285 5.807272e-01 9.050750e-04 PVPE
285 6.192161e-01 2.873885e-03 PVPG
285 6.219024e-01 1.764440e-03 PMPG
285 6.167404e-01 3.990702e-03 PNPG
285 6.301380e-01 4.696673e-03 PYPG
285 6.310222e-01 3.549251e-03 YVPG
296 1.074920e+00 6.286255e-03 MPPM
296 1.080251e+00 3.995217e-03 MPPV
296 1.075432e+00 6.857296e-03 YPMN
296 1.073807e+00 4.873091e-03 YPMV
296 5.979291e-01 1.429652e-03 MVPE
296 6.077605e-01 6.663533e-04 PMPE
296 6.035773e-01 1.619846e-03 PNPE
296 6.032510e-01 1.118706e-03 YVPE
296 5.948472e-01 9.947477e-04 PVPE
296 6.316045e-01 2.275484e-03 PVPG
296 6.334087e-01 1.054667e-03 PMPG
296 6.311109e-01 3.369248e-03 PNPG
296 6.428642e-01 2.704732e-03 PYPG
296 6.424702e-01 3.508680e-03 YVPG
310 1.097952e+00 6.882755e-03 MPPM
310 1.105698e+00 3.886617e-03 MPPV
310 1.096297e+00 7.342258e-03 YPMN
310 1.094967e+00 3.780275e-03 YPMV
310 6.156615e-01 1.305330e-03 MVPE
310 6.247589e-01 7.016734e-04 PMPE
310 6.216235e-01 1.793852e-03 PNPE
310 6.211089e-01 1.075372e-03 YVPE
310 6.136100e-01 5.980515e-04 PVPE
310 6.496297e-01 2.034148e-03 PVPG
310 6.511977e-01 1.016039e-03 PMPG
310 6.464989e-01 2.790066e-03 PNPG
310 6.593423e-01 2.959939e-03 PYPG
310 6.599537e-01 5.325095e-03 YVPG
320 1.109082e+00 5.066274e-03 MPPM
320 1.123001e+00 2.223623e-03 MPPV
320 1.110058e+00 3.841641e-03 YPMN
320 1.111100e+00 5.181811e-03 YPMV
320 6.277564e-01 1.398371e-03 MVPE
320 6.371892e-01 9.281302e-04 PMPE
320 6.338464e-01 1.644788e-03 PNPE
320 6.346455e-01 9.673486e-04 YVPE
320 6.257424e-01 4.984662e-04 PVPE
320 6.619786e-01 1.699002e-03 PVPG
320 6.633034e-01 8.668631e-04 PMPG
320 6.602839e-01 2.855445e-03 PNPG
320 6.699564e-01 1.947401e-03 PYPG
320 6.714703e-01 3.022887e-03 YVPG
